currency,Tier 1 balance,"Amount Paid on Balance > Tier I","Tier II Balance","Amount Paid on Balance > Tier II","Tier III Balance","Amount Paid on Balance > Tier III"
USD,360,10000,0,100000,0,,
AUD,360,11500,3.178,115000,3.428,,
CAD,360,10500,0.479,105000,0.747,,
CHF,360,12000,0,120000,0,,
EUR,360,7500,0,75000,0.081,,
GBP,360,5000,0.042,50000,0.292,,
HKD,360,78000,0,780000,0,,
JPY,360,1175000,0,11750000,0,,
KRW,360,10000000,1.0000,100000000,1.25,,
MXN,360,100000,0.765,1000000,1.265,,
NZD,360,13000,0,130000,0,,
SEK,360,70000,1.106,700000,1.356,,
