Währung,"Tier I Balance","Amount Charged on Balance  <=Tier I","Amount Charged on Balance  >Tier I","Tier II  Balance","Amount Charged on Balance  > Tier II","Tier III  alance","Amount Charged on Balance  > Tier III"
USD,360,100000,1.67,1.17,1000000,0.67,3000000,0.42
AUD,360,115000,5.178,4.678,1150000,4.178,,
CAD,360,105000,2.497,1.997,1050000,1.497,,
CHF,360,120000,1.51,1.01,1200000,0.51,,
EUR,360,75000,1.831,1.331,750000,0.831,,
GBP,360,50000,2.042,1.542,500000,1.042,,
HKD,360,780000,1.599,1.099,7800000,0.599,,
JPY,360,11700000,1.603,1.103,117000000,0.603,,
KRW,360,100000000,5.26,4.76,1000000000,4.26,,
MXN,360,1000000,7.765,6.765,10000000,6.265,,
NZD,360,130000,0,0,1000000,0,,
SEK,360,700000,3.106,2.606,7000000,2.106,,
